scenario_id,seed,client_count,partition,policy_profile,method,round,client_id,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,0,135,34,True,False,0.7058823529411765,0.41379310344827586,,,,,"comparison_groups,subgroup_accuracy_gap",1.43162501626648
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,1,424,106,True,False,0.9905660377358491,0.4976303317535545,,,,,"comparison_groups,subgroup_accuracy_gap",1.738457998726517
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,2,1192,299,True,True,0.9431438127090301,0.4853700516351119,0.0,0.0,,0.06666666666666665,"equalized_odds_gap,false_positive_rate_gap",1.0985830158460885
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,3,186,47,True,True,0.8723404255319149,0.4659090909090909,0.0,0.0,0.0,0.052380952380952306,,0.6979579920880497
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,4,2968,742,True,True,0.7776280323450134,0.7669256381798002,0.31873340447179693,0.4709677419354839,0.4709677419354839,0.11268828945082754,,1.6079999913927168
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,5,1777,445,True,True,0.7460674157303371,0.7453266413099079,0.29061671087533153,0.04999999999999993,0.31773879142300193,0.16097480106100792,,1.2379999971017241
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,6,9674,2419,True,True,0.9524596940884663,0.49636738558577154,0.0007874015748031496,,,0.09055118110236215,"equal_opportunity_gap,equalized_odds_gap",4.226666991598904
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,7,928,233,True,True,0.8626609442060086,0.5183462532299742,0.07407407407407407,,,0.8919453434016541,"equal_opportunity_gap,equalized_odds_gap",0.9581249905750155
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,8,400,101,True,False,0.9801980198019802,0.495,,,,,"comparison_groups,subgroup_accuracy_gap",0.7825419888831675
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,9,2821,706,True,True,0.9886685552407932,0.49715099715099714,0.0,0.0,0.0,0.003337541537881128,,1.5446250035893172
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,2,0,135,34,True,False,0.7352941176470589,0.423728813559322,,,,,"comparison_groups,subgroup_accuracy_gap",0.7147500000428408
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,2,1,424,106,True,False,0.9905660377358491,0.4976303317535545,,,,,"comparison_groups,subgroup_accuracy_gap",1.0069580166600645
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,2,2,1192,299,True,True,0.9565217391304348,0.7060869565217391,0.02352941176470591,0.004201680672268893,,0.050980392156862786,"equalized_odds_gap,false_positive_rate_gap",1.1231250246055424
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,2,3,186,47,True,True,0.9148936170212766,0.7267441860465116,0.05714285714285716,0.0,0.5,0.10952380952380947,,0.7592080219183117
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,2,4,2968,742,True,True,0.7021563342318059,0.6376849059313514,0.16691068814055637,0.33548387096774196,0.33548387096774196,0.23150606744918978,,1.5980829775799066
